ticket_id,customer_id,created_date,severity,status,topic,reopened,resolution_hours,ticket_text
TICK-00001,CUST-0001,2026-06-26,P3,Resolved,dashboard permissions,False,10.8,Customer reported an issue involving dashboard permissions. Current status is Resolved.
TICK-00002,CUST-0001,2026-06-25,P1,Resolved,API authentication,False,11.08,Customer reported an issue involving API authentication. Current status is Resolved.
TICK-00003,CUST-0001,2026-06-02,P1,Open,data export,False,5.95,Customer reported an issue involving data export. Current status is Open.
TICK-00004,CUST-0001,2026-07-08,P2,Resolved,billing question,False,5.33,Customer reported an issue involving billing question. Current status is Resolved.
TICK-00005,CUST-0001,2026-06-06,P1,Resolved,user provisioning,False,15.72,Customer reported an issue involving user provisioning. Current status is Resolved.
TICK-00006,CUST-0001,2026-07-13,P2,Resolved,reporting latency,False,8.36,Customer reported an issue involving reporting latency. Current status is Resolved.
TICK-00007,CUST-0001,2026-05-04,P3,Resolved,user provisioning,False,10.92,Customer reported an issue involving user provisioning. Current status is Resolved.
TICK-00008,CUST-0002,2026-05-11,P2,Resolved,user provisioning,False,12.36,Customer reported an issue involving user provisioning. Current status is Resolved.
TICK-00009,CUST-0002,2026-05-22,P2,Resolved,API authentication,False,8.44,Customer reported an issue involving API authentication. Current status is Resolved.
TICK-00010,CUST-0002,2026-06-19,P3,Resolved,reporting latency,False,13.76,Customer reported an issue involving reporting latency. Current status is Resolved.
TICK-00011,CUST-0003,2026-05-15,P1,Escalated,data export,False,34.45,Customer reported an issue involving data export. Current status is Escalated.
TICK-00012,CUST-0003,2026-04-28,P1,Resolved,reporting latency,True,19.22,Customer reported an issue involving reporting latency. Current status is Resolved.
TICK-00013,CUST-0003,2026-03-21,P2,Resolved,dashboard permissions,False,45.32,Customer reported an issue involving dashboard permissions. Current status is Resolved.
TICK-00014,CUST-0003,2026-05-30,P1,Open,data export,True,11.89,Customer reported an issue involving data export. Current status is Open.
TICK-00015,CUST-0003,2026-02-28,P1,Escalated,API authentication,False,15.96,Customer reported an issue involving API authentication. Current status is Escalated.
TICK-00016,CUST-0003,2026-04-28,P2,Escalated,reporting latency,False,68.02,Customer reported an issue involving reporting latency. Current status is Escalated.
TICK-00017,CUST-0003,2026-02-07,P1,Escalated,billing question,False,49.64,Customer reported an issue involving billing question. Current status is Escalated.
TICK-00018,CUST-0003,2026-03-12,P1,Open,data export,False,24.15,Customer reported an issue involving data export. Current status is Open.
TICK-00019,CUST-0003,2026-04-04,P1,Resolved,billing question,True,45.97,Customer reported an issue involving billing question. Current status is Resolved.
TICK-00020,CUST-0003,2026-02-10,P2,Open,user provisioning,True,61.68,Customer reported an issue involving user provisioning. Current status is Open.
TICK-00021,CUST-0003,2026-04-22,P2,Escalated,dashboard permissions,False,6.62,Customer reported an issue involving dashboard permissions. Current status is Escalated.
TICK-00022,CUST-0003,2026-07-10,P1,Escalated,user provisioning,False,51.25,Customer reported an issue involving user provisioning. Current status is Escalated.
TICK-00023,CUST-0004,2026-02-26,P2,Open,data export,False,10.29,Customer reported an issue involving data export. Current status is Open.
TICK-00024,CUST-0004,2026-07-09,P2,Escalated,billing question,False,70.83,Customer reported an issue involving billing question. Current status is Escalated.
TICK-00025,CUST-0004,2026-07-27,P2,Escalated,API authentication,False,54.9,Customer reported an issue involving API authentication. Current status is Escalated.
TICK-00026,CUST-0004,2026-03-07,P1,Open,workflow configuration,True,50.17,Customer reported an issue involving workflow configuration. Current status is Open.
TICK-00027,CUST-0004,2026-05-04,P1,Open,data export,False,68.26,Customer reported an issue involving data export. Current status is Open.
TICK-00028,CUST-0004,2026-06-26,P1,Open,reporting latency,False,11.45,Customer reported an issue involving reporting latency. Current status is Open.
TICK-00029,CUST-0004,2026-04-18,P2,Open,billing question,True,24.45,Customer reported an issue involving billing question. Current status is Open.
TICK-00030,CUST-0004,2026-02-22,P1,Open,workflow configuration,False,64.37,Customer reported an issue involving workflow configuration. Current status is Open.
TICK-00031,CUST-0004,2026-05-18,P1,Resolved,user provisioning,False,70.74,Customer reported an issue involving user provisioning. Current status is Resolved.
TICK-00032,CUST-0004,2026-02-07,P1,Resolved,reporting latency,False,51.04,Customer reported an issue involving reporting latency. Current status is Resolved.
TICK-00033,CUST-0004,2026-04-09,P1,Resolved,dashboard permissions,True,47.97,Customer reported an issue involving dashboard permissions. Current status is Resolved.
TICK-00034,CUST-0004,2026-07-19,P1,Resolved,API authentication,False,53.42,Customer reported an issue involving API authentication. Current status is Resolved.
TICK-00035,CUST-0004,2026-02-05,P1,Escalated,data export,True,4.52,Customer reported an issue involving data export. Current status is Escalated.
TICK-00036,CUST-0005,2026-07-29,P2,Resolved,user provisioning,False,13.24,Customer reported an issue involving user provisioning. Current status is Resolved.
TICK-00037,CUST-0005,2026-05-20,P2,Open,user provisioning,False,3.85,Customer reported an issue involving user provisioning. Current status is Open.
TICK-00038,CUST-0005,2026-04-30,P2,Open,reporting latency,False,8.84,Customer reported an issue involving reporting latency. Current status is Open.
TICK-00039,CUST-0005,2026-04-10,P3,Resolved,billing question,False,3.19,Customer reported an issue involving billing question. Current status is Resolved.
TICK-00040,CUST-0005,2026-07-21,P2,Open,API authentication,False,2.32,Customer reported an issue involving API authentication. Current status is Open.
TICK-00041,CUST-0006,2026-04-04,P2,Resolved,dashboard permissions,True,18.59,Customer reported an issue involving dashboard permissions. Current status is Resolved.
TICK-00042,CUST-0006,2026-02-23,P2,Escalated,dashboard permissions,False,65.62,Customer reported an issue involving dashboard permissions. Current status is Escalated.
TICK-00043,CUST-0006,2026-02-19,P1,Resolved,dashboard permissions,False,25.16,Customer reported an issue involving dashboard permissions. Current status is Resolved.
TICK-00044,CUST-0006,2026-07-21,P1,Open,reporting latency,True,66.26,Customer reported an issue involving reporting latency. Current status is Open.
TICK-00045,CUST-0006,2026-02-21,P2,Open,data export,False,57.41,Customer reported an issue involving data export. Current status is Open.
TICK-00046,CUST-0006,2026-04-01,P2,Escalated,billing question,False,39.05,Customer reported an issue involving billing question. Current status is Escalated.
TICK-00047,CUST-0006,2026-06-02,P1,Resolved,reporting latency,False,34.84,Customer reported an issue involving reporting latency. Current status is Resolved.
TICK-00048,CUST-0006,2026-07-24,P2,Open,API authentication,True,14.31,Customer reported an issue involving API authentication. Current status is Open.
TICK-00049,CUST-0006,2026-03-23,P2,Open,billing question,False,10.68,Customer reported an issue involving billing question. Current status is Open.
TICK-00050,CUST-0006,2026-02-20,P2,Open,data export,False,46.47,Customer reported an issue involving data export. Current status is Open.
TICK-00051,CUST-0007,2026-07-04,P2,Open,billing question,False,6.0,Customer reported an issue involving billing question. Current status is Open.
TICK-00052,CUST-0007,2026-05-21,P2,Resolved,billing question,False,5.37,Customer reported an issue involving billing question. Current status is Resolved.
TICK-00053,CUST-0007,2026-02-02,P2,Resolved,dashboard permissions,False,4.26,Customer reported an issue involving dashboard permissions. Current status is Resolved.
TICK-00054,CUST-0007,2026-02-16,P3,Resolved,user provisioning,False,14.64,Customer reported an issue involving user provisioning. Current status is Resolved.
TICK-00055,CUST-0007,2026-02-16,P1,Resolved,API authentication,False,11.44,Customer reported an issue involving API authentication. Current status is Resolved.
TICK-00056,CUST-0008,2026-02-04,P3,Resolved,workflow configuration,False,12.8,Customer reported an issue involving workflow configuration. Current status is Resolved.
TICK-00057,CUST-0008,2026-05-04,P1,Open,API authentication,False,9.97,Customer reported an issue involving API authentication. Current status is Open.
TICK-00058,CUST-0008,2026-04-23,P2,Resolved,billing question,False,13.35,Customer reported an issue involving billing question. Current status is Resolved.
TICK-00059,CUST-0008,2026-05-06,P2,Resolved,dashboard permissions,False,8.85,Customer reported an issue involving dashboard permissions. Current status is Resolved.
TICK-00060,CUST-0008,2026-06-20,P3,Resolved,workflow configuration,False,4.39,Customer reported an issue involving workflow configuration. Current status is Resolved.
TICK-00061,CUST-0008,2026-07-27,P2,Resolved,data export,False,14.32,Customer reported an issue involving data export. Current status is Resolved.
TICK-00062,CUST-0008,2026-04-25,P2,Resolved,dashboard permissions,False,14.59,Customer reported an issue involving dashboard permissions. Current status is Resolved.
TICK-00063,CUST-0008,2026-05-27,P3,Resolved,billing question,False,12.51,Customer reported an issue involving billing question. Current status is Resolved.
TICK-00064,CUST-0009,2026-03-08,P1,Open,data export,False,27.6,Customer reported an issue involving data export. Current status is Open.
TICK-00065,CUST-0009,2026-05-23,P2,Open,API authentication,False,3.15,Customer reported an issue involving API authentication. Current status is Open.
TICK-00066,CUST-0009,2026-06-01,P1,Escalated,data export,True,13.08,Customer reported an issue involving data export. Current status is Escalated.
TICK-00067,CUST-0009,2026-06-21,P2,Resolved,data export,True,32.3,Customer reported an issue involving data export. Current status is Resolved.
TICK-00068,CUST-0009,2026-03-13,P1,Open,user provisioning,True,51.42,Customer reported an issue involving user provisioning. Current status is Open.
TICK-00069,CUST-0009,2026-07-06,P2,Open,data export,True,36.34,Customer reported an issue involving data export. Current status is Open.
TICK-00070,CUST-0009,2026-04-20,P1,Resolved,data export,False,44.81,Customer reported an issue involving data export. Current status is Resolved.
TICK-00071,CUST-0009,2026-07-04,P1,Escalated,dashboard permissions,True,50.2,Customer reported an issue involving dashboard permissions. Current status is Escalated.
TICK-00072,CUST-0009,2026-03-05,P1,Open,data export,False,27.9,Customer reported an issue involving data export. Current status is Open.
TICK-00073,CUST-0010,2026-03-26,P2,Open,reporting latency,False,14.74,Customer reported an issue involving reporting latency. Current status is Open.
TICK-00074,CUST-0010,2026-04-22,P2,Resolved,workflow configuration,False,6.77,Customer reported an issue involving workflow configuration. Current status is Resolved.
TICK-00075,CUST-0010,2026-04-26,P3,Resolved,user provisioning,False,12.94,Customer reported an issue involving user provisioning. Current status is Resolved.
TICK-00076,CUST-0010,2026-06-27,P3,Open,workflow configuration,False,10.53,Customer reported an issue involving workflow configuration. Current status is Open.
TICK-00077,CUST-0011,2026-06-06,P1,Resolved,API authentication,False,6.39,Customer reported an issue involving API authentication. Current status is Resolved.
TICK-00078,CUST-0011,2026-02-25,P2,Resolved,workflow configuration,False,6.5,Customer reported an issue involving workflow configuration. Current status is Resolved.
TICK-00079,CUST-0011,2026-06-16,P2,Resolved,workflow configuration,False,14.61,Customer reported an issue involving workflow configuration. Current status is Resolved.
TICK-00080,CUST-0011,2026-04-10,P3,Resolved,data export,False,12.88,Customer reported an issue involving data export. Current status is Resolved.
TICK-00081,CUST-0012,2026-03-09,P2,Resolved,data export,False,5.45,Customer reported an issue involving data export. Current status is Resolved.
TICK-00082,CUST-0012,2026-07-13,P3,Resolved,user provisioning,False,13.55,Customer reported an issue involving user provisioning. Current status is Resolved.
TICK-00083,CUST-0012,2026-06-04,P1,Resolved,dashboard permissions,False,5.82,Customer reported an issue involving dashboard permissions. Current status is Resolved.
TICK-00084,CUST-0012,2026-04-23,P2,Resolved,workflow configuration,False,14.36,Customer reported an issue involving workflow configuration. Current status is Resolved.
TICK-00085,CUST-0012,2026-03-24,P3,Open,workflow configuration,False,3.69,Customer reported an issue involving workflow configuration. Current status is Open.
TICK-00086,CUST-0013,2026-03-22,P1,Open,user provisioning,False,5.48,Customer reported an issue involving user provisioning. Current status is Open.
TICK-00087,CUST-0014,2026-05-20,P3,Resolved,user provisioning,False,4.86,Customer reported an issue involving user provisioning. Current status is Resolved.
TICK-00088,CUST-0014,2026-04-17,P3,Resolved,billing question,False,11.02,Customer reported an issue involving billing question. Current status is Resolved.
TICK-00089,CUST-0014,2026-05-19,P3,Resolved,data export,False,12.86,Customer reported an issue involving data export. Current status is Resolved.
TICK-00090,CUST-0014,2026-03-10,P2,Open,data export,False,9.77,Customer reported an issue involving data export. Current status is Open.
